test_class,test_dosya,test_hedef,train_class,en_benzer_train_dosya,train_hedef,hamming_mesafesi
Class3,0225.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0226.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0227.PNG,kusurlu,Class3,0593.PNG,kusursuz,0
Class3,0228.PNG,kusursuz,Class3,0777.PNG,kusurlu,0
Class3,0229.PNG,kusursuz,Class3,0800.PNG,kusursuz,0
Class3,0230.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0231.PNG,kusurlu,Class3,0594.PNG,kusursuz,0
Class3,0232.PNG,kusurlu,Class3,0901.PNG,kusursuz,0
Class3,0233.PNG,kusursuz,Class3,0731.PNG,kusursuz,0
Class3,0234.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0235.PNG,kusursuz,Class3,0720.PNG,kusurlu,0
Class3,0236.PNG,kusursuz,Class3,0668.PNG,kusursuz,0
Class3,0237.PNG,kusursuz,Class3,0595.PNG,kusursuz,0
Class3,0238.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0239.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0240.PNG,kusurlu,Class3,0650.PNG,kusursuz,0
Class3,0241.PNG,kusursuz,Class3,0644.PNG,kusursuz,0
Class3,0242.PNG,kusurlu,Class3,0600.PNG,kusursuz,0
Class3,0243.PNG,kusurlu,Class3,0866.PNG,kusursuz,0
Class3,0245.PNG,kusursuz,Class3,0686.PNG,kusursuz,0
Class3,0246.PNG,kusurlu,Class3,0651.PNG,kusursuz,0
Class3,0247.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0248.PNG,kusurlu,Class3,0766.PNG,kusursuz,0
Class3,0249.PNG,kusursuz,Class3,0602.PNG,kusursuz,0
Class3,0250.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0251.PNG,kusursuz,Class3,0776.PNG,kusursuz,0
Class3,0252.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0253.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0254.PNG,kusurlu,Class3,0588.PNG,kusursuz,0
Class3,0255.PNG,kusursuz,Class3,0800.PNG,kusursuz,0
Class3,0256.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0257.PNG,kusurlu,Class3,0614.PNG,kusursuz,0
Class3,0258.PNG,kusursuz,Class3,0609.PNG,kusursuz,0
Class3,0259.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0260.PNG,kusursuz,Class3,0623.PNG,kusursuz,0
Class3,0262.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0263.PNG,kusursuz,Class3,0631.PNG,kusursuz,0
Class3,0264.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0265.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0266.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0267.PNG,kusurlu,Class3,0577.PNG,kusursuz,0
Class3,0268.PNG,kusursuz,Class3,0731.PNG,kusursuz,0
Class3,0269.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0271.PNG,kusurlu,Class3,0685.PNG,kusursuz,0
Class3,0272.PNG,kusursuz,Class3,0685.PNG,kusursuz,0
Class3,0273.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0275.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0276.PNG,kusursuz,Class3,0766.PNG,kusursuz,0
Class3,0277.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0278.PNG,kusursuz,Class3,0712.PNG,kusurlu,0
Class3,0279.PNG,kusursuz,Class3,0602.PNG,kusursuz,0
Class3,0280.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0281.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0282.PNG,kusurlu,Class3,0627.PNG,kusursuz,0
Class3,0283.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0284.PNG,kusursuz,Class3,0988.PNG,kusursuz,0
Class3,0285.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0286.PNG,kusurlu,Class3,0614.PNG,kusursuz,0
Class3,0287.PNG,kusursuz,Class3,0708.PNG,kusursuz,0
Class3,0288.PNG,kusursuz,Class3,0601.PNG,kusursuz,0
Class3,0289.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0290.PNG,kusursuz,Class3,0608.PNG,kusursuz,0
Class3,0292.PNG,kusurlu,Class3,0708.PNG,kusursuz,0
Class3,0293.PNG,kusursuz,Class3,0749.PNG,kusursuz,0
Class3,0294.PNG,kusursuz,Class3,0823.PNG,kusursuz,0
Class3,0295.PNG,kusursuz,Class3,1020.PNG,kusursuz,0
Class3,0296.PNG,kusursuz,Class3,0628.PNG,kusursuz,0
Class3,0297.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0298.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0299.PNG,kusurlu,Class3,0614.PNG,kusursuz,0
Class3,0300.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0301.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0302.PNG,kusursuz,Class3,0720.PNG,kusurlu,0
Class3,0303.PNG,kusursuz,Class3,1017.PNG,kusursuz,0
Class3,0304.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0306.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0307.PNG,kusurlu,Class3,0614.PNG,kusursuz,0
Class3,0308.PNG,kusurlu,Class3,0577.PNG,kusursuz,0
Class3,0309.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0310.PNG,kusursuz,Class3,0638.PNG,kusursuz,0
Class3,0311.PNG,kusurlu,Class3,0580.PNG,kusursuz,0
Class3,0312.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0313.PNG,kusursuz,Class3,0584.PNG,kusursuz,0
Class3,0314.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0315.PNG,kusursuz,Class3,0632.PNG,kusursuz,0
Class3,0316.PNG,kusurlu,Class3,0615.PNG,kusursuz,0
Class3,0317.PNG,kusursuz,Class3,0596.PNG,kusursuz,0
Class3,0318.PNG,kusursuz,Class3,0901.PNG,kusursuz,0
Class3,0320.PNG,kusurlu,Class3,0715.PNG,kusurlu,0
Class3,0321.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0322.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0323.PNG,kusurlu,Class3,0615.PNG,kusursuz,0
Class3,0324.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0325.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0326.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0327.PNG,kusursuz,Class3,0644.PNG,kusursuz,0
Class3,0328.PNG,kusursuz,Class3,0583.PNG,kusursuz,0
Class3,0331.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0332.PNG,kusursuz,Class3,0715.PNG,kusurlu,0
Class3,0333.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0334.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0335.PNG,kusursuz,Class3,0620.PNG,kusursuz,0
Class3,0336.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0337.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0339.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0340.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0343.PNG,kusurlu,Class3,0578.PNG,kusurlu,0
Class3,0344.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0345.PNG,kusursuz,Class3,0866.PNG,kusursuz,0
Class3,0346.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0347.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0348.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0350.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0351.PNG,kusursuz,Class3,0584.PNG,kusursuz,0
Class3,0352.PNG,kusurlu,Class3,0617.PNG,kusurlu,0
Class3,0353.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0354.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0355.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0356.PNG,kusursuz,Class3,0776.PNG,kusursuz,0
Class3,0357.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0358.PNG,kusursuz,Class3,0669.PNG,kusursuz,0
Class3,0359.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0360.PNG,kusursuz,Class3,0632.PNG,kusursuz,0
Class3,0361.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0362.PNG,kusursuz,Class3,0587.PNG,kusursuz,0
Class3,0363.PNG,kusursuz,Class3,0601.PNG,kusursuz,0
Class3,0364.PNG,kusursuz,Class3,0593.PNG,kusursuz,0
Class3,0365.PNG,kusursuz,Class3,0628.PNG,kusursuz,0
Class3,0366.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0367.PNG,kusurlu,Class3,0616.PNG,kusursuz,0
Class3,0368.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0369.PNG,kusursuz,Class3,0595.PNG,kusursuz,0
Class3,0370.PNG,kusursuz,Class3,0684.PNG,kusursuz,0
Class3,0371.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0372.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0374.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0376.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0377.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0378.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0379.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0380.PNG,kusursuz,Class3,0751.PNG,kusursuz,0
Class3,0381.PNG,kusursuz,Class3,0616.PNG,kusursuz,0
Class3,0382.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0383.PNG,kusursuz,Class3,0601.PNG,kusursuz,0
Class3,0384.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0385.PNG,kusurlu,Class3,0578.PNG,kusurlu,0
Class3,0387.PNG,kusursuz,Class3,0608.PNG,kusursuz,0
Class3,0388.PNG,kusursuz,Class3,0709.PNG,kusursuz,0
Class3,0389.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0390.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0391.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0392.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0393.PNG,kusurlu,Class3,0650.PNG,kusursuz,0
Class3,0394.PNG,kusursuz,Class3,0584.PNG,kusursuz,0
Class3,0395.PNG,kusurlu,Class3,0619.PNG,kusursuz,0
Class3,0396.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0397.PNG,kusursuz,Class3,0608.PNG,kusursuz,0
Class3,0398.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0399.PNG,kusursuz,Class3,0692.PNG,kusursuz,0
Class3,0400.PNG,kusurlu,Class3,0800.PNG,kusursuz,0
Class3,0401.PNG,kusursuz,Class3,0602.PNG,kusursuz,0
Class3,0402.PNG,kusursuz,Class3,0608.PNG,kusursuz,0
Class3,0403.PNG,kusursuz,Class3,0601.PNG,kusursuz,0
Class3,0404.PNG,kusursuz,Class3,0766.PNG,kusursuz,0
Class3,0405.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0406.PNG,kusursuz,Class3,0720.PNG,kusurlu,0
Class3,0408.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0409.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0410.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0411.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0412.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0413.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0414.PNG,kusursuz,Class3,0615.PNG,kusursuz,0
Class3,0415.PNG,kusursuz,Class3,0620.PNG,kusursuz,0
Class3,0416.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0418.PNG,kusursuz,Class3,0584.PNG,kusursuz,0
Class3,0419.PNG,kusursuz,Class3,0617.PNG,kusurlu,0
Class3,0420.PNG,kusursuz,Class3,0601.PNG,kusursuz,0
Class3,0421.PNG,kusurlu,Class3,0594.PNG,kusursuz,0
Class3,0422.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0423.PNG,kusurlu,Class3,0614.PNG,kusursuz,0
Class3,0424.PNG,kusursuz,Class3,0602.PNG,kusursuz,0
Class3,0425.PNG,kusursuz,Class3,0615.PNG,kusursuz,0
Class3,0426.PNG,kusursuz,Class3,0764.PNG,kusursuz,0
Class3,0427.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0428.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0429.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0430.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0431.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0432.PNG,kusursuz,Class3,0595.PNG,kusursuz,0
Class3,0433.PNG,kusursuz,Class3,0601.PNG,kusursuz,0
Class3,0435.PNG,kusursuz,Class3,0627.PNG,kusursuz,0
Class3,0437.PNG,kusursuz,Class3,0686.PNG,kusursuz,0
